activity_date,dau
2019-11-01,11747
2019-11-02,13935
2019-11-03,14185
2019-11-04,16643
2019-11-05,15630
2019-11-06,15251
2019-11-07,16430
2019-11-08,16952
2019-11-09,16732
2019-11-10,17635
2019-11-11,18111
2019-11-12,17799
2019-11-13,17991
2019-11-14,22151
2019-11-15,49312
2019-11-16,54459
2019-11-17,55972
2019-11-18,18873
2019-11-19,15893
2019-11-20,15438
2019-11-21,15255
2019-11-22,14251
2019-11-23,14007
2019-11-24,14336
2019-11-25,14480
2019-11-26,14965
2019-11-27,14973
2019-11-28,14770
2019-11-29,16689
2019-11-30,15680
